"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"89";"2017-09-29 12:15:16";"Вставлена";"Вождение";"1:39:42";"0:00:00";"0:00:00";"0:00:00";"1:39:42";"Водитель";"Один водитель";"116 км";
"90";"2017-09-29 13:54:58";"Вставлена";"Работа";"0:00:00";"0:01:03";"0:00:00";"0:00:00";"0:01:03";"Водитель";"Один водитель";"0.00 км";
"91";"2017-09-29 13:56:01";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"92";"2017-09-29 14:08:37";"Вставлена";"Работа";"0:00:00";"0:00:56";"0:00:00";"0:00:00";"0:00:56";"Водитель";"Один водитель";"0.00 км";
"93";"2017-09-29 14:09:33";"Вставлена";"Вождение";"1:40:52";"0:00:00";"0:00:00";"0:00:00";"1:40:52";"Водитель";"Один водитель";"116 км";
"94";"2017-09-29 15:50:25";"Вставлена";"Работа";"0:00:00";"0:00:23";"0:00:00";"0:00:00";"0:00:23";"Водитель";"Один водитель";"0.00 км";
"95";"2017-09-29 15:50:48";"Вставлена";"Вождение";"0:14:19";"0:00:00";"0:00:00";"0:00:00";"0:14:19";"Водитель";"Один водитель";"2.82 км";
"96";"2017-09-29 16:05:07";"Вставлена";"Работа";"0:00:00";"0:00:33";"0:00:00";"0:00:00";"0:00:33";"Водитель";"Один водитель";"0.00 км";
"97";"2017-09-29 16:05:40";"Вставлена";"Вождение";"1:41:18";"0:00:00";"0:00:00";"0:00:00";"1:41:18";"Водитель";"Один водитель";"116 км";
"98";"2017-09-29 17:46:58";"Вставлена";"Работа";"0:00:00";"0:00:07";"0:00:00";"0:00:00";"0:00:07";"Водитель";"Один водитель";"0.00 км";
"99";"2017-09-29 17:47:05";"Вставлена";"Вождение";"0:14:35";"0:00:00";"0:00:00";"0:00:00";"0:14:35";"Водитель";"Один водитель";"2.82 км";
"100";"2017-09-29 18:01:40";"Вставлена";"Работа";"0:00:00";"0:00:18";"0:00:00";"0:00:00";"0:00:18";"Водитель";"Один водитель";"0.00 км";
"101";"2017-09-29 18:01:58";"Вставлена";"Вождение";"1:41:30";"0:00:00";"0:00:00";"0:00:00";"1:41:30";"Водитель";"Один водитель";"116 км";
"102";"2017-09-29 19:43:28";"Вставлена";"Работа";"0:00:00";"0:02:05";"0:00:00";"0:00:00";"0:02:05";"Водитель";"Один водитель";"0.00 км";
"103";"2017-09-29 19:45:33";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"104";"2017-09-29 19:58:09";"Вставлена";"Работа";"0:00:00";"0:00:02";"0:00:00";"0:00:00";"0:00:02";"Водитель";"Один водитель";"0.00 км";
"105";"2017-09-29 19:58:11";"Вставлена";"Вождение";"1:41:01";"0:00:00";"0:00:00";"0:00:00";"1:41:01";"Водитель";"Один водитель";"116 км";
"106";"2017-09-29 21:39:12";"Вставлена";"Работа";"0:00:00";"0:00:22";"0:00:00";"0:00:00";"0:00:22";"Водитель";"Один водитель";"0.00 км";
"107";"2017-09-29 21:39:34";"Вставлена";"Вождение";"0:14:22";"0:00:00";"0:00:00";"0:00:00";"0:14:22";"Водитель";"Один водитель";"2.82 км";
"108";"2017-09-29 21:53:56";"Вставлена";"Работа";"0:00:00";"0:00:29";"0:00:00";"0:00:00";"0:00:29";"Водитель";"Один водитель";"0.00 км";
"109";"2017-09-29 21:54:25";"Вставлена";"Вождение";"1:41:31";"0:00:00";"0:00:00";"0:00:00";"1:41:31";"Водитель";"Один водитель";"116 км";
"110";"2017-09-29 23:35:56";"Вставлена";"Работа";"0:00:00";"0:00:01";"0:00:00";"0:00:00";"0:00:01";"Водитель";"Один водитель";"0.00 км";
"111";"2017-09-29 23:35:57";"Вставлена";"Вождение";"0:14:43";"0:00:00";"0:00:00";"0:00:00";"0:14:43";"Водитель";"Один водитель";"2.82 км";
"112";"2017-09-29 23:50:40";"Вставлена";"Работа";"0:00:00";"0:00:09";"0:00:00";"0:00:00";"0:00:09";"Водитель";"Один водитель";"0.00 км";
"113";"2017-09-29 23:50:49";"Вставлена";"Вождение";"1:40:53";"0:00:00";"0:00:00";"0:00:00";"1:40:53";"Водитель";"Один водитель";"116 км";
"114";"2017-09-30 01:31:42";"Вставлена";"Работа";"0:00:00";"0:00:34";"0:00:00";"0:00:00";"0:00:34";"Водитель";"Один водитель";"0.00 км";
"115";"2017-09-30 01:32:16";"Вставлена";"Вождение";"0:14:08";"0:00:00";"0:00:00";"0:00:00";"0:14:08";"Водитель";"Один водитель";"2.82 км";
"116";"2017-09-30 01:46:24";"Вставлена";"Работа";"0:00:00";"0:00:44";"0:00:00";"0:00:00";"0:00:44";"Водитель";"Один водитель";"0.00 км";
"117";"2017-09-30 01:47:08";"Вставлена";"Вождение";"1:41:11";"0:00:00";"0:00:00";"0:00:00";"1:41:11";"Водитель";"Один водитель";"116 км";
"118";"2017-09-30 03:28:19";"Вставлена";"Работа";"0:00:00";"0:00:11";"0:00:00";"0:00:00";"0:00:11";"Водитель";"Один водитель";"0.00 км";
"119";"2017-09-30 03:28:30";"Вставлена";"Вождение";"0:14:34";"0:00:00";"0:00:00";"0:00:00";"0:14:34";"Водитель";"Один водитель";"2.82 км";
"120";"2017-09-30 03:43:04";"Вставлена";"Работа";"0:00:00";"0:00:21";"0:00:00";"0:00:00";"0:00:21";"Водитель";"Один водитель";"0.00 км";
"121";"2017-09-30 03:43:25";"Вставлена";"Вождение";"1:41:30";"0:00:00";"0:00:00";"0:00:00";"1:41:30";"Водитель";"Один водитель";"116 км";
"122";"2017-09-30 05:24:55";"Вставлена";"Работа";"0:00:00";"0:02:07";"0:00:00";"0:00:00";"0:02:07";"Водитель";"Один водитель";"0.00 км";
"123";"2017-09-30 05:27:02";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"124";"2017-09-30 05:39:38";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"125";"2017-09-30 05:41:44";"Вставлена";"Вождение";"1:38:44";"0:00:00";"0:00:00";"0:00:00";"1:38:44";"Водитель";"Один водитель";"116 км";
"126";"2017-09-30 07:20:28";"Вставлена";"Работа";"0:00:00";"0:00:26";"0:00:00";"0:00:00";"0:00:26";"Водитель";"Один водитель";"0.00 км";
"127";"2017-09-30 07:20:54";"Вставлена";"Вождение";"0:14:16";"0:00:00";"0:00:00";"0:00:00";"0:14:16";"Водитель";"Один водитель";"2.82 км";
"128";"2017-09-30 07:35:10";"Вставлена";"Работа";"0:00:00";"0:00:41";"0:00:00";"0:00:00";"0:00:41";"Водитель";"Один водитель";"0.00 км";
"129";"2017-09-30 07:35:51";"Вставлена";"Вождение";"1:41:12";"0:00:00";"0:00:00";"0:00:00";"1:41:12";"Водитель";"Один водитель";"116 км";
"130";"2017-09-30 09:17:03";"Вставлена";"Работа";"0:00:00";"0:00:06";"0:00:00";"0:00:00";"0:00:06";"Водитель";"Один водитель";"0.00 км";
"131";"2017-09-30 09:17:09";"Вставлена";"Вождение";"0:14:33";"0:00:00";"0:00:00";"0:00:00";"0:14:33";"Водитель";"Один водитель";"2.82 км";
"132";"2017-09-30 09:31:42";"Вставлена";"Работа";"0:00:00";"0:00:21";"0:00:00";"0:00:00";"0:00:21";"Водитель";"Один водитель";"0.00 км";
"133";"2017-09-30 09:32:03";"Вставлена";"Вождение";"1:41:31";"0:00:00";"0:00:00";"0:00:00";"1:41:31";"Водитель";"Один водитель";"116 км";
"134";"2017-09-30 11:13:34";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"135";"2017-09-30 11:15:40";"Вставлена";"Вождение";"0:12:35";"0:00:00";"0:00:00";"0:00:00";"0:12:35";"Водитель";"Один водитель";"2.82 км";
"136";"2017-09-30 11:28:15";"Вставлена";"Работа";"0:00:00";"0:00:03";"0:00:00";"0:00:00";"0:00:03";"Водитель";"Один водитель";"0.00 км";
"137";"2017-09-30 11:28:18";"Вставлена";"Вождение";"1:40:45";"0:00:00";"0:00:00";"0:00:00";"1:40:45";"Водитель";"Один водитель";"116 км";
